# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"8","A8","22","97280.305","171294.19"
"8","A8","23","100635.22","171454.4"
"8","A8","24","103385.67","171615.31"
"8","A8","25","105850.85","171550.77"
"8","A8","26","107950.26","171591.61"
"8","A8","27","109839.266","171831.86"
"8","A8","28","111109.48","171861.6"
"8","A8","29","112207.57","171761.88"
"8","A8","30","113312.54","171701.55"
"8","A8","31","114140.83","171595.86"
"8","A8","32","114689.57","171567.06"
"8","A8","33","115277.76","171495.44"
"8","A8","34","115672.48","171555.16"
"8","A8","35","116629.266","171512.3"
"8","A8","36","117052.63","171601.42"
"8","A8","37","117512.59","171594.03"
"8","A8","38","117859.75","171813.86"
"8","A8","39","118218.84","171843.89"
"8","A8","40","118521.15","171920.94"
"8","A8","41","118989.31","171849.5"
"8","A8","42","119431.33","171854.47"
"8","A8","43","119809.54","171859.03"
"8","A8","44","120465.164","171869.61"
"8","A8","45","121127.69","171804.03"
"8","A8","46","122023.05","171881.6"
"8","A8","47","123398.62","171785.11"
"8","A8","48","125321.47","171675.22"
"8","A8","49","127457.35","171620.22"
"8","A8","50","130150.92","171834.33"
"8","A8","51","133530.81","171808.77"
"8","A8","52","137216.69","171846.05"
"8","A8","53","140929.25","171781.83"
"8","A8","54","144531.05","171911.17"
"8","A8","55","148010.72","172137.16"
"8","A8","56","151656.72","172216.62"
"8","A8","57","155192.08","172257.0"
"8","A8","58","158320.62","172180.97"
"8","A8","59","161429.42","172273.39"
"8","A8","60","164458.61","172488.78"
"8","A8","61","167216.05","172495.05"
"8","A8","62","169862.66","172543.95"
"8","A8","63","172781.69","172486.64"
"8","A8","64","175569.78","172657.36"
"8","A8","65","178089.22","172695.84"
"8","A8","66","180349.58","172644.94"
"8","A8","67","182646.45","172785.6"
"8","A8","68","185282.86","172791.89"
"8","A8","69","187604.27","172744.5"
"8","A8","70","189646.64","172723.31"
"8","A8","71","192178.23","172926.84"
"8","A8","72","194185.98","173129.05"
"8","A8","73","196342.83","173028.23"
"8","A8","74","198413.45","172750.89"
"8","A8","75","201188.25","172454.89"
"8","A8","76","205216.56","171944.9"
"8","A8","77","208927.47","171542.97"
"8","A8","78","211976.67","171162.83"
"8","A8","79","214134.97","170973.53"
"8","A8","80","215406.4","170826.78"
"8","A8","81","216882.84","170779.17"
"8","A8","82","218401.9","170961.1"
"8","A8","83","219391.11","170924.33"
"8","A8","84","220399.34","170855.98"
"8","A8","85","221369.9","170731.05"
"8","A8","86","222008.25","170564.86"
"8","A8","87","222731.77","170508.84"
"8","A8","88","223241.42","170688.81"
"8","A8","89","223920.02","170858.44"
"8","A8","90","224183.84","170813.3"
"10","A10","1","22965.104","182347.05"
"10","A10","2","22994.477","182417.84"
"10","A10","3","22979.533","182330.2"
"10","A10","4","22991.389","182294.03"
"10","A10","5","23121.398","182357.88"
"10","A10","6","23146.73","182354.05"
"10","A10","7","23155.133","182379.34"
"10","A10","8","23251.861","182365.31"
"10","A10","9","23575.182","182400.56"
"10","A10","10","23792.277","182389.19"
"10","A10","11","23987.166","182260.19"
"10","A10","12","24561.576","182191.25"
"10","A10","13","25289.79","182195.3"
"10","A10","14","26148.0","182274.23"
"10","A10","15","27261.24","182374.08"
"10","A10","16","28905.37","182551.12"
"10","A10","17","31127.807","182764.1"
"10","A10","18","33863.06","182652.75"
"10","A10","19","37068.137","182579.75"
"10","A10","20","40935.258","182640.6"
"10","A10","21","45346.234","182695.61"
"10","A10","22","50218.312","182807.39"
"10","A10","23","55437.29","183052.6"
"10","A10","24","61080.15","183247.56"
"10","A10","25","66689.66","183248.62"
"10","A10","26","72151.13","183069.12"
"10","A10","27","77520.195","183045.94"
"10","A10","28","82673.98","183372.78"
"10","A10","29","87212.54","183408.16"
"10","A10","30","91295.82","183536.64"
"10","A10","31","94788.33","183606.78"
"10","A10","32","97703.33","183527.84"
"10","A10","33","100275.14","183549.81"
"10","A10","34","102388.99","183676.06"
"10","A10","35","104342.21","183668.88"
"10","A10","36","105994.72","183617.45"
"10","A10","37","107318.07","183618.08"
"10","A10","38","108739.08","183755.11"
"10","A10","39","110177.12","183829.61"
