,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
113,S057.6.4,317.5,33670000.0,6.0,62.0,0.3064516129032258,-3.87266096272095,1.128752690759739,0.001460125090352026,0.6000475221705753,0.2926176991610054,21.35230554913072
114,S057.8.0,334.35714285714283,28860014.285714287,5.428571428571429,85.0,0.29411764705882354,-5.050168743469492,1.1144311049163074,0.018513533924001197,0.8399903429730168,0.18603181921288225,19.923113885384
115,S057.8.2,341.5,25252525.0,5.0,33.0,0.3939393939393939,-5.43770893166445,0.6767323908092966,0.02509414879833793,0.8920449848271781,0.16323183006682934,20.278125592160247
116,S057.8.4,343.5,25252525.0,5.0,62.0,0.3064516129032258,-5.440276031467705,0.6768696591134202,0.024168975811966892,0.878433183923865,0.16781385022218398,20.600284902027425
117,S057.9.0,345.5,25252525.0,5.0,500.0,0.418,-4.285019353107612,0.5081696791274124,0.01737156248239189,0.48215623693405363,0.3298452916509968,29.22031828640996
118,S057.9.1,347.5,25252525.0,5.0,88.0,0.25,-5.753756220937184,0.6326528380363029,0.014257469015352395,0.8588869834258086,0.17124515918763977,22.314537623499337
119,S067_0d89c8_a_Avg_0,88.0,15873014.285714285,5.0,94.0,0.40425531914893614,-5.409624448800571,0.790535610866517,0.010659319857863834,0.6361754383454725,0.24623002029231564,28.296370475786233
120,S067_0d89c8_a_Avg_1,108.0,13888888.75,4.5,78.0,0.32051282051282054,-6.404458064288843,0.7133791137573027,0.009990228401086586,0.6969928009770383,0.22161530763261303,31.195622268142422
121,S067_0d89c8_a_Avg_2,85.0,13888888.75,4.5,66.0,0.36363636363636365,-5.138055391973751,0.7689912115132929,0.011641359358213501,0.7681031379504082,0.20588486469769443,22.26359214987756
122,S067_0d89c8_a_Avg_3,49.0,22222000.0,6.0,59.0,0.47457627118644063,-4.5506914780598375,0.6919135617674004,0.010901306620773663,0.6957054864153799,0.24082701692993785,21.690300972153974
123,S067_0d89c8_a_LVM_0,280.0,15873014.285714285,5.0,59.0,0.4915254237288136,-4.48677262831823,0.7502160461716983,0.010611219822205064,0.6384846123170712,0.2622401951871719,23.37619703227043
124,S067_0d89c8_a_LVM_1,300.0,13888888.75,4.5,293.0,0.22184300341296928,-6.233567451975409,0.6698706102836702,0.010538459769613089,0.5618293466213591,0.27110731845573754,37.42593410286675
125,S067_0d89c8_a_LVM_2,277.0,13888888.75,4.5,127.0,0.3464566929133858,-5.148365467962519,0.7144913519891166,0.011936717021213123,0.6992172594079735,0.22966737747771393,24.47441420946918
126,S067_0d89c8_a_LVM_3,241.0,22222000.0,6.0,40.0,0.325,-5.084013678251351,0.6920178094795567,0.012241243784610775,0.7392114623427639,0.21764460500352087,22.821209635323676
