col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
21,10,DNA,1,3.666666666666667,2.2266666666666666,262,K22,JG073N_262,TaqMan Fast Virus
22,10,DNA,1,3.666666666666667,1.8900000000000001,263,K23,JG073N_263,TaqMan Fast Virus
23,10,DNA,1,3.666666666666667,,264,K24,JG073N_264,TaqMan Fast Virus
0,11,DNA,100,5.0,5.91,265,L1,JG073N_265,TaqMan Fast Virus
1,11,DNA,100,5.0,5.573333333333333,266,L2,JG073N_266,TaqMan Fast Virus
2,11,DNA,100,5.0,5.236666666666666,267,L3,JG073N_267,TaqMan Fast Virus
3,11,DNA,100,5.0,4.9,268,L4,JG073N_268,TaqMan Fast Virus
4,11,DNA,100,5.0,4.5633333333333335,269,L5,JG073N_269,TaqMan Fast Virus
5,11,DNA,100,5.0,4.226666666666667,270,L6,JG073N_270,TaqMan Fast Virus
6,11,DNA,100,5.0,3.8900000000000006,271,L7,JG073N_271,TaqMan Fast Virus
7,11,DNA,100,5.0,,272,L8,JG073N_272,TaqMan Fast Virus
8,11,DNA,10,4.0,4.91,273,L9,JG073N_273,TaqMan Fast Virus
9,11,DNA,10,4.0,4.573333333333333,274,L10,JG073N_274,TaqMan Fast Virus
10,11,DNA,10,4.0,4.236666666666666,275,L11,JG073N_275,TaqMan Fast Virus
11,11,DNA,10,4.0,3.9000000000000004,276,L12,JG073N_276,TaqMan Fast Virus
12,11,DNA,10,4.0,3.5633333333333335,277,L13,JG073N_277,TaqMan Fast Virus
13,11,DNA,10,4.0,3.2266666666666666,278,L14,JG073N_278,TaqMan Fast Virus
14,11,DNA,10,4.0,2.8900000000000006,279,L15,JG073N_279,TaqMan Fast Virus
15,11,DNA,10,4.0,,280,L16,JG073N_280,TaqMan Fast Virus
16,11,DNA,1,3.0,3.91,281,L17,JG073N_281,TaqMan Fast Virus
17,11,DNA,1,3.0,3.5733333333333333,282,L18,JG073N_282,TaqMan Fast Virus
18,11,DNA,1,3.0,3.2366666666666664,283,L19,JG073N_283,TaqMan Fast Virus
19,11,DNA,1,3.0,2.9000000000000004,284,L20,JG073N_284,TaqMan Fast Virus
20,11,DNA,1,3.0,2.5633333333333335,285,L21,JG073N_285,TaqMan Fast Virus
21,11,DNA,1,3.0,2.2266666666666666,286,L22,JG073N_286,TaqMan Fast Virus
22,11,DNA,1,3.0,1.8900000000000001,287,L23,JG073N_287,TaqMan Fast Virus
23,11,DNA,1,3.0,,288,L24,JG073N_288,TaqMan Fast Virus
0,12,DNA,100,4.333333333333334,5.91,289,M1,JG073N_289,TaqMan Fast Virus
1,12,DNA,100,4.333333333333334,5.573333333333333,290,M2,JG073N_290,TaqMan Fast Virus
2,12,DNA,100,4.333333333333334,5.236666666666666,291,M3,JG073N_291,TaqMan Fast Virus
3,12,DNA,100,4.333333333333334,4.9,292,M4,JG073N_292,TaqMan Fast Virus
4,12,DNA,100,4.333333333333334,4.5633333333333335,293,M5,JG073N_293,TaqMan Fast Virus
