,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
34,JG074D,18,FAM,#NAME?,FALSE,A18,0,FAM,JG074D.018,UNKNOWN,,15.033392,34,50,0.1754576142127528,0.3474430739879608,100000000,1000000,100000,8,6,5,-0.756483348
36,JG074D,19,FAM,#NAME?,FALSE,A19,0,FAM,JG074D.019,UNKNOWN,,14.947313,36,50,0.18647212040259864,0.37676361203193665,100000000,1000000,1000000,8,6,6,-0.749850948
38,JG074D,20,FAM,#NAME?,FALSE,A20,0,FAM,JG074D.020,UNKNOWN,,12.179438,38,50,0.44524140503312265,0.9882755875587463,100000000,1000000,100000000,8,6,8,-0.521038099
40,JG074D,21,FAM,#NAME?,FALSE,A21,0,FAM,JG074D.021,UNKNOWN,,7.635102,40,50,0.37059830467156496,0.949249804,100000000,100000000,100,8,8,2,-0.414020256
42,JG074D,22,FAM,#NAME?,FALSE,A22,0,FAM,JG074D.022,UNKNOWN,,7.6122537,42,50,0.35365144040377644,0.9072472453117371,100000000,100000000,10000,8,8,4,-0.405573783
44,JG074D,23,FAM,#NAME?,FALSE,A23,0,FAM,JG074D.023,UNKNOWN,,7.573662,44,50,0.3750490228649981,0.960789144,100000000,100000000,100000,8,8,5,-0.417736918
46,JG074D,24,FAM,#NAME?,FALSE,A24,0,FAM,JG074D.024,UNKNOWN,,7.648108,46,50,0.3708509330325959,0.9489678740501404,100000000,100000000,1000000,8,8,6,-0.423692288
48,JG074D,25,FAM,#NAME?,FALSE,B1,0,FAM,JG074D.025,UNKNOWN,,24.807571,48,50,0.088442625,0.17414073646068573,31622776,100,100,7.499999991736717,2,2,-0.818781324
50,JG074D,26,FAM,#NAME?,FALSE,B2,0,FAM,JG074D.026,UNKNOWN,,18.039309,50,50,0.14587400178457682,0.2954857647418976,31622776,100,10000,7.499999991736717,2,4,-0.751884464
52,JG074D,27,FAM,#NAME?,FALSE,B3,0,FAM,JG074D.027,UNKNOWN,,18.704454,52,50,0.13826465442364416,0.271203876,31622776,100,100000,7.499999991736717,2,5,-0.747748224
54,JG074D,28,FAM,#NAME?,FALSE,B4,0,FAM,JG074D.028,UNKNOWN,,21.780302,54,50,0.11756308018191115,0.2515011429786682,31622776,100,1000000,7.499999991736717,2,6,-0.84250407
56,JG074D,29,FAM,#NAME?,FALSE,B5,0,FAM,JG074D.029,UNKNOWN,,12.368774,56,50,0.41970030116888607,0.927878737,31622776,100,100000000,7.499999991736717,2,8,-0.518029989
58,JG074D,30,FAM,#NAME?,FALSE,B6,0,FAM,JG074D.030,UNKNOWN,,24.05793,58,50,0.090974743,0.185999796,31622776,10000,100,7.499999991736717,4,2,-0.87816267
60,JG074D,31,FAM,#NAME?,FALSE,B7,0,FAM,JG074D.031,UNKNOWN,,17.777567,60,50,0.1536094814110476,0.29309725761413574,31622776,10000,10000,7.499999991736717,4,4,-0.752830706
62,JG074D,32,FAM,#NAME?,FALSE,B8,0,FAM,JG074D.032,UNKNOWN,,17.932594,62,50,0.15093382741279493,0.30039405822753906,31622776,10000,100000,7.499999991736717,4,5,-0.752339692
64,JG074D,33,FAM,#NAME?,FALSE,B9,0,FAM,JG074D.033,UNKNOWN,,17.437157,64,50,0.1757293967049458,0.3541242778301239,31622776,10000,1000000,7.499999991736717,4,6,-0.732575095
66,JG074D,34,FAM,#NAME?,FALSE,B10,0,FAM,JG074D.034,UNKNOWN,,12.307373,66,50,0.4344457258855488,0.9771720767021179,31622776,10000,100000000,7.499999991736717,4,8,-0.473522758
68,JG074D,35,FAM,#NAME?,FALSE,B11,0,FAM,JG074D.035,UNKNOWN,,19.426172,68,50,0.1306061991145625,0.24919089674949646,31622776,100000,100,7.499999991736717,5,2,-0.794942683
70,JG074D,36,FAM,#NAME?,FALSE,B12,0,FAM,JG074D.036,UNKNOWN,,16.891836,70,50,0.16845393154565777,0.3309231698513031,31622776,100000,10000,7.499999991736717,5,4,-0.738317158
72,JG074D,37,FAM,#NAME?,FALSE,B13,0,FAM,JG074D.037,UNKNOWN,,17.174849,72,50,0.1656258888867957,0.3223334848880768,31622776,100000,100000,7.499999991736717,5,5,-0.745057703
74,JG074D,38,FAM,#NAME?,FALSE,B14,0,FAM,JG074D.038,UNKNOWN,,16.835772,74,50,0.19285584289054872,0.37703078985214233,31622776,100000,1000000,7.499999991736717,5,6,-0.724816234
