,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
234,S067_76f36b_a_LVM_3,FP001-RP001x,FAM,248.0,22222000.0,6.0,43.0,0.3023255813953488,-5.780696303550149,0.7675377769459183,0.018002982970193038,0.9656312455547622,0.13682286957566642,19.89398491500885
235,S067_76f36b_b_Avg_0,FP002-RP001x,HEX,96.0,15873014.285714285,5.0,166.0,0.5783132530120482,-5.3851516209685855,0.4454580000113193,0.018577884814454736,0.5250608850124692,0.2882471447606694,34.03636855239059
236,S067_76f36b_b_Avg_1,FP002-RP001x,HEX,89.0,18518335.0,5.166666666666667,171.0,0.543859649122807,-7.767413853790056,0.5203058555097481,0.018137972009600097,0.5563718693026037,0.28269292142582597,47.09945213723288
237,S067_76f36b_b_Avg_3,FP002-RP001x,HEX,57.0,22222000.0,6.0,166.0,0.5903614457831325,-3.9455797923664484,0.47532721050991206,0.037118381423254104,0.5758349107265991,0.2987842841391088,22.660333218128567
238,S067_76f36b_b_LVM_0,FP002-RP001x,HEX,288.0,15873014.285714285,5.0,335.0,0.3522388059701492,-6.602210910021356,0.5047436990802817,0.016095748902869387,0.7347458597244997,0.19958162547840866,29.86075567174492
239,S067_76f36b_b_LVM_1,FP002-RP001x,HEX,294.0,13888888.75,4.5,575.0,0.3339130434782609,-6.537298827298677,0.5431646112382738,0.014739330346793068,0.6209192121302526,0.24384739980414713,35.96265198839667
240,S067_76f36b_b_LVM_2,FP002-RP001x,HEX,285.0,13888888.75,4.5,42.0,0.30952380952380953,-6.244374765763662,0.5883372382571103,0.01868540960385728,0.9002483001017793,0.15156081713365477,23.078926023262255
241,S067_76f36b_α_Avg_0,FP001-RP008x,EVAGREEN,93.0,15873014.285714285,5.0,45.0,0.44444444444444436,-5.493695973495828,0.2628359227590145,0.0004847525616315075,0.7270706687026888,0.21666451099053735,25.015016465741528
242,S067_76f36b_α_Avg_1,FP001-RP008x,EVAGREEN,97.0,13888888.75,4.5,53.0,0.2830188679245283,-5.824555660142224,0.22915722374145406,0.001288390149019524,0.7065756639667167,0.2196674745549672,27.412468549257227
243,S067_76f36b_α_Avg_2,FP001-RP008x,EVAGREEN,94.0,13888888.75,4.5,47.0,0.5319148936170213,-4.874075919986773,0.30748119571019944,0.0006745053218971354,0.6272909448429652,0.25885431149693106,25.793579532013005
244,S067_76f36b_α_Avg_3,FP001-RP008x,EVAGREEN,58.0,22222000.0,6.0,71.0,0.2535211267605634,-5.225777105700923,0.36088068767260295,0.0006867957797494121,0.7780625194112202,0.20185099228619974,22.318700831757592
245,S067_76f36b_α_LVM_0,FP001-RP008x,EVAGREEN,285.0,15873014.285714285,5.0,80.0,0.25,-5.102057806712893,0.31878461766566807,0.000474258831683898,0.7567124256188931,0.20907249990845572,22.42610345828144
246,S067_76f36b_α_LVM_1,FP001-RP008x,EVAGREEN,299.0,13888888.75,4.5,15.0,0.2,-5.426745104807201,0.11983127576960952,0.00020057130650079317,0.740090754544344,0.22301849570793042,25.804410277665063
247,S067_76f36b_α_LVM_2,FP001-RP008x,EVAGREEN,286.0,13888888.75,4.5,20.0,0.5,-6.307754951812432,0.22699255397588347,0.0009123097617939707,0.7944353098680266,0.18450675952696677,26.4332591473042
248,S067_76f36b_α_LVM_3,FP001-RP008x,EVAGREEN,250.0,22222000.0,6.0,116.0,0.22413793103448273,-5.198402724509752,0.44463785690795776,0.0007011093738179333,0.8017060160076547,0.19392706851445737,21.564606194373688
249,S067_76f36b_β_Avg_0,FP001-FP005,EVAGREEN,98.0,18351850.0,4.833333333333333,45.0,0.4444444444444444,-5.882753208189339,0.2815132433144247,0.0008426610979314561,0.7731636608982662,0.1962430054788016,25.355547899832732
250,S067_76f36b_β_Avg_1,FP001-FP005,EVAGREEN,92.0,13888888.75,4.5,53.0,0.2830188679245283,-6.514060377395769,0.3366677382865733,0.0007409008454932185,0.8785934159411287,0.15811337636644057,24.55652692738221
