,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
305,5,41,0.463415,-6.909815,0.256055,0.001581,0.763318,,,,,,,,,
306,4.5,24,0.416667,-6.644598,0.165937,0.001488,0.857501,,,,,,,,,
307,6,38,0.421053,-5.777456,0.218441,0.001053,0.853412,,,,,,,,,
341,5,45,0.444444,-6.885157,0.242258,0.001601,0.78068,,,,,,,,,
342,4.5,60,0.25,-6.202488,0.205531,0.001475,0.87602,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,_,,,,,,,,,,,,,,
110,0.194425,20.873474,,,,,,,,,,,,,,
115,0.315217,19.735795,,,,,,,,,,,,,,
117,0.377089,22.995259,,,,,,,,,,,,,,
119,0.274033,21.208691,,,,,,,,,,,,,,
121,0.302109,31.922203,,,,,,,,,,,,,,
123,0.348915,22.037953,,,,,,,,,,,,,,
125,0.208868,24.615879,,,,,,,,,,,,,,
127,0.195065,21.217325,,,,,,,,,,,,,,
224,0.207293,28.107012,,,,,,,,,,,,,,
225,0.217399,23.741566,,,,,,,,,,,,,,
226,0.17159,29.253077,,,,,,,,,,,,,,
303,0.203451,29.281648,,,,,,,,,,,,,,
304,0.16566,21.46087,,,,,,,,,,,,,,
305,0.188767,29.992125,,,,,,,,,,,,,,
306,0.163743,25.627243,,,,,,,,,,,,,,
307,0.171438,22.411622,,,,,,,,,,,,,,
341,0.183714,29.271038,,,,,,,,,,,,,,
342,0.159028,23.758555,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
