,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
6852,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,7,-0.0005678745976074796,-0.00027443483122624457
6853,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,7,0.0006854800495851704,-0.001175663317553699
6854,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,8,0.0007457594848353485,0.0005278700846247375
6855,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,8,-0.00017991240914649856,-0.000984915648587048
6856,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,9,0.003709144600632711,0.005177863407880068
6857,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,9,-0.0027151202255424273,0.0024943691678345203
6858,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,10,0.007718806174027797,0.012268071062862873
6859,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,10,-0.005999365339266423,0.007448809687048197
6860,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,11,0.013758305410372486,0.02409243769943714
6861,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,11,-0.011317699636289678,0.016409188508987427
6862,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,12,0.023869708680114197,0.04541363939642906
6863,JG074C,40,HEX,-inf,False,B16,0.0,HEX,JG074C.040,UNKNOWN,,12.148351,79,31622776,1000000,100,7.499999991736717,6.0,2.0,12,-0.02194309438520084,0.035821299999952316
6864,JG074C,40,FAM,-inf,False,B16,0.0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6.0,2.0,13,0.04149334624780256,0.08425550907850266
